hour,DR-1
h1982,0
h1983,0
h1984,1
h1985,1
h1986,1
h1987,1
h1988,1
h1989,1
h1990,1
h1991,0
h1992,0
h1993,0
h1994,0
h1995,0
h1996,0
h1997,0
h1998,0
h1999,0
h2000,0
h2001,0
h2002,0
h2003,0
h2004,0
h2005,0
h2006,0
h2007,0
h2008,1
h2009,1
h2010,1
h2011,1
h2012,1
h2013,1
h2014,1
h2015,0
h2016,0
h2017,0
h2018,0
h2019,0
h2020,0
h2021,0
h2022,0
h2023,0
h2024,0
h2025,0
h2026,0
h2027,0
h2028,0
h2029,0
h2030,0
h2031,0
h2032,1
h2033,1
h2034,1
h2035,1
h2036,1
h2037,1
h2038,1
h2039,0
h2040,0
h2041,0
h2042,0
h2043,0
h2044,0
h2045,0
h2046,0
h2047,0
h2048,0
h2049,0
h2050,0
h2051,0
h2052,0
h2053,0
h2054,0
h2055,0
h2056,1
h2057,1
h2058,1
h2059,1
h2060,1
h2061,1
h2062,1
h2063,0
h2064,0
h2065,0
h2066,0
h2067,0
h2068,0
h2069,0
h2070,0
h2071,0
h2072,0
h2073,0
h2074,0
h2075,0
h2076,0
h2077,0
h2078,0
h2079,0
h2080,1
h2081,1
h2082,1
h2083,1
h2084,1
h2085,1
h2086,1
h2087,0
h2088,0
h2089,0
h2090,0
h2091,0
h2092,0
h2093,0
h2094,0
h2095,0
h2096,0
h2097,0
h2098,0
h2099,0
h2100,0
h2101,0
h2102,0
h2103,0
h2104,1
h2105,1
h2106,1
h2107,1
h2108,1
h2109,1
h2110,1
h2111,0
h2112,0
h2113,0
h2114,0
h2115,0
h2116,0
h2117,0
h2118,0
h2119,0
h2120,0
h2121,0
h2122,0
h2123,0
h2124,0
h2125,0
h2126,0
h2127,0
h2128,1
h2129,1
h2130,1
h2131,1
h2132,1
h2133,1
h2134,1
h2135,0
h2136,0
h2137,0
h2138,0
h2139,0
h2140,0
h2141,0
h2142,0
h2143,0
h2144,0
h2145,0
h2146,0
h2147,0
h2148,0
h2149,0
h2150,0
h2151,0
h2152,1
h2153,1
h2154,1
h2155,1
h2156,1
h2157,1
h2158,1
h2159,0
h2160,0
h2161,0
h2162,0
h2163,0
h2164,0
h2165,0
h2166,0
h2167,0
h2168,0
h2169,0
h2170,0
h2171,0
h2172,0
h2173,0
h2174,0
h2175,0
h2176,1
h2177,1
h2178,1
h2179,1
h2180,1
h2181,1
h2182,1
h2183,0
h2184,0
h2185,0
h2186,0
h2187,0
h2188,0
h2189,0
h2190,0
h2191,0
h2192,0
h2193,0
h2194,0
h2195,0
h2196,0
h2197,0
h2198,0
h2199,0
h2200,1
h2201,1
h2202,1
h2203,1
h2204,1
h2205,1
h2206,1
h2207,0
h2208,0
h2209,0
h2210,0
h2211,0
h2212,0
h2213,0
h2214,0
h2215,0
h2216,0
h2217,0
h2218,0
h2219,0
h2220,0
h2221,0
h2222,0
h2223,0
h2224,1
h2225,1
h2226,1
h2227,1
h2228,1
h2229,1
h2230,1
h2231,0
h2232,0
h2233,0
h2234,0
h2235,0
h2236,0
h2237,0
h2238,0
h2239,0
h2240,0
h2241,0
h2242,0
h2243,0
h2244,0
h2245,0
h2246,0
h2247,0
h2248,1
h2249,1
h2250,1
h2251,1
h2252,1
h2253,1
h2254,1
h2255,0
h2256,0
h2257,0
h2258,0
h2259,0
h2260,0
h2261,0
h2262,0
h2263,0
h2264,0
h2265,0
h2266,0
h2267,0
h2268,0
h2269,0
h2270,0
h2271,0
h2272,1
h2273,1
h2274,1
h2275,1
h2276,1
h2277,1
h2278,1
h2279,0
h2280,0
h2281,0
h2282,0
h2283,0
h2284,0
h2285,0
h2286,0
h2287,0
h2288,0
h2289,0
h2290,0
h2291,0
h2292,0
h2293,0
h2294,0
h2295,0
h2296,1
h2297,1
h2298,1
h2299,1
h2300,1
h2301,1
h2302,1
h2303,0
h2304,0
h2305,0
h2306,0
h2307,0
h2308,0
h2309,0
h2310,0
h2311,0
h2312,0
h2313,0
h2314,0
h2315,0
h2316,0
h2317,0
h2318,0
h2319,0
h2320,1
h2321,1
h2322,1
h2323,1
h2324,1
h2325,1
h2326,1
h2327,0
h2328,0
h2329,0
h2330,0
h2331,0
h2332,0
h2333,0
h2334,0
h2335,0
h2336,0
h2337,0
h2338,0
h2339,0
h2340,0
h2341,0
h2342,0
h2343,0
h2344,1
h2345,1
h2346,1
h2347,1
h2348,1
h2349,1
h2350,1
h2351,0
h2352,0
h2353,0
h2354,0
h2355,0
h2356,0
h2357,0
h2358,0
h2359,0
h2360,0
h2361,0
h2362,0
h2363,0
h2364,0
h2365,0
h2366,0
h2367,0
h2368,1
h2369,1
h2370,1
h2371,1
h2372,1
h2373,1
h2374,1
h2375,0
h2376,0
h2377,0
h2378,0
h2379,0
h2380,0
h2381,0
h2382,0
h2383,0
h2384,0
h2385,0
h2386,0
h2387,0
h2388,0
h2389,0
h2390,0
h2391,0
h2392,1
h2393,1
h2394,1
h2395,1
h2396,1
h2397,1
h2398,1
h2399,0
h2400,0
h2401,0
h2402,0
h2403,0
h2404,0
h2405,0
h2406,0
h2407,0
h2408,0
h2409,0
h2410,0
h2411,0
h2412,0
h2413,0
h2414,0
h2415,0
h2416,1
h2417,1
h2418,1
h2419,1
h2420,1
h2421,1
h2422,1
h2423,0
h2424,0
h2425,0
h2426,0
h2427,0
h2428,0
h2429,0
h2430,0
h2431,0
h2432,0
h2433,0
h2434,0
h2435,0
h2436,0
h2437,0
h2438,0
h2439,0
h2440,1
h2441,1
h2442,1
h2443,1
h2444,1
h2445,1
h2446,1
h2447,0
h2448,0
h2449,0
h2450,0
h2451,0
h2452,0
h2453,0
h2454,0
h2455,0
h2456,0
h2457,0
h2458,0
h2459,0
h2460,0
h2461,0
h2462,0
h2463,0
h2464,1
h2465,1
h2466,1
h2467,1
h2468,1
h2469,1
h2470,1
h2471,0
h2472,0
h2473,0
h2474,0
h2475,0
h2476,0
h2477,0
h2478,0
h2479,0
h2480,0
h2481,0
h2482,0
h2483,0
h2484,0
h2485,0
h2486,0
h2487,0
h2488,1
h2489,1
h2490,1
h2491,1
h2492,1
h2493,1
