SOLAR-7,SOLAR-13,SOLAR-11,SOLAR-2,SOLAR-5,SOLAR-15,SOLAR-12,SOLAR-6,SOLAR-1,SOLAR-9,SOLAR-8,SOLAR-16,SOLAR-17,SOLAR-14,SOLAR-10,SOLAR-3,SOLAR-4,SOLAR-18,time_CST
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03T04:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03T05:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03T06:00:00Z
0.034444444444444444,0.18426966292134833,0.18426966292134833,0.2895622895622896,0.300794551645857,0.034444444444444444,0.300794551645857,0.300794551645857,0.300794551645857,0.034444444444444444,0.300794551645857,0.3377777777777778,0.300794551645857,0.11111111111111112,0.300794551645857,0.300794551645857,0.2895622895622896,0.17555555555555555,2016-02-03T07:00:00Z
0.7911111111111111,0.7471910112359551,0.7471910112359551,0.8080808080808081,0.7616345062429059,0.7911111111111111,0.7616345062429059,0.7616345062429059,0.7616345062429059,0.7911111111111111,0.7616345062429059,0.8566666666666667,0.7616345062429059,0.7377777777777778,0.7616345062429059,0.7616345062429059,0.8080808080808081,0.75,2016-02-03T08:00:00Z
0.9422222222222222,0.8932584269662922,0.8932584269662922,0.9292929292929293,0.8978433598183883,0.9422222222222222,0.8978433598183883,0.8978433598183883,0.8978433598183883,0.9422222222222222,0.8978433598183883,0.9555555555555555,0.8978433598183883,0.898888888888889,0.8978433598183883,0.8978433598183883,0.9292929292929293,0.8966666666666667,2016-02-03T09:00:00Z
1,0.949438202247191,0.949438202247191,0.9730639730639731,0.9511918274687854,1,0.9511918274687854,0.9511918274687854,0.9511918274687854,1,0.9511918274687854,0.9888888888888889,0.9511918274687854,0.961111111111111,0.9511918274687854,0.9511918274687854,0.9730639730639731,0.9533333333333333,2016-02-03T10:00:00Z
1,0.9640449438202247,0.9640449438202247,0.9809203142536476,0.9648127128263336,1,0.9648127128263336,0.9648127128263336,0.9648127128263336,1,0.9648127128263336,0.99,0.9648127128263336,0.9766666666666667,0.9648127128263336,0.9648127128263336,0.9809203142536476,0.9688888888888889,2016-02-03T11:00:00Z
1,0.9471910112359551,0.9471910112359551,0.9584736251402918,0.9477866061293984,1,0.9477866061293984,0.9477866061293984,0.9477866061293984,1,0.9477866061293984,0.9655555555555555,0.9477866061293984,0.9644444444444444,0.9477866061293984,0.9477866061293984,0.9584736251402918,0.9544444444444444,2016-02-03T12:00:00Z
0.9855555555555555,0.9044943820224719,0.9044943820224719,0.936026936026936,0.9284903518728717,0.9855555555555555,0.9284903518728717,0.9284903518728717,0.9284903518728717,0.9855555555555555,0.9284903518728717,0.9488888888888889,0.9284903518728717,0.9422222222222222,0.9284903518728717,0.9284903518728717,0.936026936026936,0.9333333333333332,2016-02-03T13:00:00Z
0.9588888888888889,0.8719101123595506,0.8719101123595506,0.888888888888889,0.8796821793416573,0.9588888888888889,0.8796821793416573,0.8796821793416573,0.8796821793416573,0.9588888888888889,0.8796821793416573,0.9055555555555554,0.8796821793416573,0.9022222222222223,0.8796821793416573,0.8796821793416573,0.888888888888889,0.8877777777777778,2016-02-03T14:00:00Z
0.8855555555555555,0.79438202247191,0.79438202247191,0.7957351290684623,0.7707150964812713,0.8855555555555555,0.7707150964812713,0.7707150964812713,0.7707150964812713,0.8855555555555555,0.7707150964812713,0.8155555555555555,0.7707150964812713,0.8133333333333332,0.7707150964812713,0.7707150964812713,0.7957351290684623,0.7933333333333332,2016-02-03T15:00:00Z
0.7533333333333334,0.6280898876404495,0.6280898876404495,0.6083052749719416,0.5913734392735528,0.7533333333333334,0.5913734392735528,0.5913734392735528,0.5913734392735528,0.7533333333333334,0.5913734392735528,0.6122222222222222,0.5913734392735528,0.6388888888888888,0.5913734392735528,0.5913734392735528,0.6083052749719416,0.5955555555555556,2016-02-03T16:00:00Z
0.4477777777777778,0.26853932584269663,0.26853932584269663,0.20650953984287318,0.2054483541430193,0.4477777777777778,0.2054483541430193,0.2054483541430193,0.2054483541430193,0.4477777777777778,0.2054483541430193,0.16333333333333333,0.2054483541430193,0.2511111111111111,0.2054483541430193,0.2054483541430193,0.20650953984287318,0.18555555555555556,2016-02-03T17:00:00Z
0.005555555555555556,0,0,0,0,0.005555555555555556,0,0,0,0.005555555555555556,0,0,0,0,0,0,0,0,2016-02-03T18:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03T19:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03T20:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03T21:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03T22:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03T23:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04T00:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04T01:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04T02:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04T03:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04T04:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04T05:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04T06:00:00Z
0.05111111111111111,0.20674157303370785,0.20674157303370785,0.31649831649831645,0.3518728717366629,0.05111111111111111,0.3518728717366629,0.3518728717366629,0.3518728717366629,0.05111111111111111,0.3518728717366629,0.36,0.3518728717366629,0.13777777777777778,0.3518728717366629,0.3518728717366629,0.31649831649831645,0.22999999999999998,2016-02-04T07:00:00Z
0.8622222222222222,0.7685393258426967,0.7685393258426967,0.8125701459034792,0.8183881952326901,0.8622222222222222,0.8183881952326901,0.8183881952326901,0.8183881952326901,0.8622222222222222,0.8183881952326901,0.8666666666666667,0.8183881952326901,0.7777777777777777,0.8183881952326901,0.8183881952326901,0.8125701459034792,0.7633333333333334,2016-02-04T08:00:00Z
0.98,0.9078651685393259,0.9078651685393259,0.9259259259259258,0.9364358683314414,0.98,0.9364358683314414,0.9364358683314414,0.9364358683314414,0.98,0.9364358683314414,0.9577777777777777,0.9364358683314414,0.9133333333333332,0.9364358683314414,0.9364358683314414,0.9259259259259258,0.9022222222222223,2016-02-04T09:00:00Z
1,0.9539325842696629,0.9539325842696629,0.9652076318742985,0.9772985244040863,1,0.9772985244040863,0.9772985244040863,0.9772985244040863,1,0.9772985244040863,0.9833333333333333,0.9772985244040863,0.9588888888888889,0.9772985244040863,0.9772985244040863,0.9652076318742985,0.9455555555555555,2016-02-04T10:00:00Z
1,0.9629213483146067,0.9629213483146067,0.9753086419753086,0.9875141884222475,1,0.9875141884222475,0.9875141884222475,0.9875141884222475,1,0.9875141884222475,0.9844444444444445,0.9875141884222475,0.971111111111111,0.9875141884222475,0.9875141884222475,0.9753086419753086,0.9588888888888889,2016-02-04T11:00:00Z
1,0.949438202247191,0.949438202247191,0.9539842873176206,0.9625425652667423,1,0.9625425652667423,0.9625425652667423,0.9625425652667423,1,0.9625425652667423,0.9588888888888889,0.9625425652667423,0.9555555555555555,0.9625425652667423,0.9625425652667423,0.9539842873176206,0.94,2016-02-04T12:00:00Z
0.9988888888888889,0.9314606741573033,0.9314606741573033,0.936026936026936,0.9443813847900113,0.9988888888888889,0.9443813847900113,0.9443813847900113,0.9443813847900113,0.9988888888888889,0.9443813847900113,0.9422222222222222,0.9443813847900113,0.9344444444444444,0.9443813847900113,0.9443813847900113,0.936026936026936,0.9199999999999999,2016-02-04T13:00:00Z
0.9722222222222222,0.8921348314606742,0.8921348314606742,0.8933782267115601,0.8978433598183883,0.9722222222222222,0.8978433598183883,0.8978433598183883,0.8978433598183883,0.9722222222222222,0.8978433598183883,0.8922222222222222,0.8978433598183883,0.8944444444444445,0.8978433598183883,0.8978433598183883,0.8933782267115601,0.8755555555555555,2016-02-04T14:00:00Z
0.9044444444444444,0.8067415730337079,0.8067415730337079,0.7957351290684623,0.8013620885357547,0.9044444444444444,0.8013620885357547,0.8013620885357547,0.8013620885357547,0.9044444444444444,0.8013620885357547,0.7944444444444444,0.8013620885357547,0.8133333333333332,0.8013620885357547,0.8013620885357547,0.7957351290684623,0.7744444444444444,2016-02-04T15:00:00Z
0.7777777777777777,0.642696629213483,0.642696629213483,0.6071829405162739,0.6140749148694665,0.7777777777777777,0.6140749148694665,0.6140749148694665,0.6140749148694665,0.7777777777777777,0.6140749148694665,0.5877777777777778,0.6140749148694665,0.6422222222222221,0.6140749148694665,0.6140749148694665,0.6071829405162739,0.5788888888888889,2016-02-04T16:00:00Z
0.48333333333333334,0.28651685393258425,0.28651685393258425,0.20763187429854096,0.2224744608399546,0.48333333333333334,0.2224744608399546,0.2224744608399546,0.2224744608399546,0.48333333333333334,0.2224744608399546,0.15555555555555556,0.2224744608399546,0.2577777777777778,0.2224744608399546,0.2224744608399546,0.20763187429854096,0.1788888888888889,2016-02-04T17:00:00Z
0.0077777777777777776,0,0,0,0,0.0077777777777777776,0,0,0,0.0077777777777777776,0,0,0,0,0,0,0,0,2016-02-04T18:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04T19:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04T20:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04T21:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04T22:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04T23:00:00Z
